,Customer_ID,Recency,Frequency,Monetary,Average_Order_Value,Cluster,Segment
1,AA-13079,23,5,220.1,44.019999999999996,3,Potential Customers
2,AA-13425,110,3,1624.21,541.4033333333333,0,Loyal Customers
3,AA-13805,54,2,924.5999999999999,462.29999999999995,0,Loyal Customers
4,AA-13960,23,2,230.22,115.11,3,Potential Customers
5,AA-15045,34,2,735.66,367.83,3,Potential Customers
6,AA-15124,24,2,184.19,92.095,3,Potential Customers
7,AA-15821,46,2,570.96,285.48,3,Potential Customers
8,AA-15844,48,1,130.74,130.74,1,At-Risk Customers
9,AA-16644,36,2,833.78,416.89,3,Potential Customers
10,AA-17560,157,4,854.95,213.7375,0,Loyal Customers
11,AA-17819,66,7,3704.87,529.2671428571429,0,Loyal Customers
12,AA-18283,11,16,2045.53,127.845625,2,VIP Customers
13,AB-12423,90,8,1859.31,232.41375,0,Loyal Customers
14,AB-12500,25,11,4257.82,387.07454545454544,2,VIP Customers
15,AB-12919,3,6,1335.19,222.53166666666667,2,VIP Customers
16,AB-13301,105,4,618.09,154.5225,0,Loyal Customers
17,AB-13332,16,1,350.9,350.9,3,Potential Customers
18,AB-13799,118,2,688.86,344.43,1,At-Risk Customers
19,AB-13856,96,3,388.5,129.5,1,At-Risk Customers
20,AB-13875,39,5,1786.79,357.358,0,Loyal Customers
21,AB-14128,62,2,637.5,318.75,3,Potential Customers
22,AB-14143,135,1,115.8,115.8,1,At-Risk Customers
23,AB-14178,30,7,1600.26,228.60857142857142,0,Loyal Customers
24,AB-14664,21,2,636.24,318.12,3,Potential Customers
25,AB-15344,76,3,563.94,187.98000000000002,0,Loyal Customers
26,AB-15421,1,4,950.36,237.59,3,Potential Customers
27,AB-15435,24,1,149.29,149.29,3,Potential Customers
28,AB-15687,25,9,2993.1,332.56666666666666,2,VIP Customers
29,AB-15993,18,7,2777.67,396.81,2,VIP Customers
30,AB-16020,18,3,851.01,283.67,3,Potential Customers
31,AB-16242,20,7,3579.86,511.40857142857146,2,VIP Customers
32,AB-16271,17,5,1404.64,280.928,0,Loyal Customers
33,AB-16595,92,1,360.16,360.16,1,At-Risk Customers
34,AB-16610,250,1,75.66,75.66,1,At-Risk Customers
35,AB-16654,143,4,601.27,150.3175,0,Loyal Customers
36,AB-16947,237,1,406.48,406.48,1,At-Risk Customers
37,AB-17637,117,2,547.06,273.53,1,At-Risk Customers
38,AB-17686,33,7,5739.46,819.9228571428572,2,VIP Customers
39,AB-18102,13,60,259657.3,4327.621666666667,2,VIP Customers
40,AC-12453,136,1,707.09,707.09,1,At-Risk Customers
41,AC-12457,83,7,2363.23,337.6042857142857,0,Loyal Customers
42,AC-12545,77,2,1000.39,500.195,0,Loyal Customers
43,AC-12559,312,2,561.71,280.855,1,At-Risk Customers
44,AC-12579,80,1,440.42,440.42,1,At-Risk Customers
45,AC-12798,12,3,6977.04,2325.68,2,VIP Customers
46,AC-12930,80,2,415.8,207.9,1,At-Risk Customers
47,AC-13040,183,2,676.99,338.495,1,At-Risk Customers
48,AC-13914,13,2,626.45,313.225,3,Potential Customers
49,AC-14352,38,4,1078.96,269.74,0,Loyal Customers
50,AC-14419,12,6,1051.79,175.29833333333332,0,Loyal Customers
51,AC-15201,89,5,1236.54,247.308,0,Loyal Customers
52,AC-15212,7,1,101.8,101.8,3,Potential Customers
53,AC-15549,79,3,1681.46,560.4866666666667,0,Loyal Customers
54,AC-16200,166,2,1068.87,534.435,1,At-Risk Customers
55,AC-16639,122,3,1257.51,419.17,0,Loyal Customers
56,AC-17037,89,1,1267.32,1267.32,1,At-Risk Customers
57,AC-17977,61,1,288.14,288.14,1,At-Risk Customers
58,AD-12539,24,4,5568.35,1392.0875,0,Loyal Customers
59,AD-12607,62,1,1579.51,1579.51,0,Loyal Customers
60,AD-12623,130,1,305.1,305.1,1,At-Risk Customers
61,AD-12626,25,9,6620.48,735.6088888888888,2,VIP Customers
62,AD-12933,26,3,607.53,202.51,3,Potential Customers
63,AD-13865,1,4,501.56,125.39,3,Potential Customers
64,AD-14359,21,3,912.18,304.06,3,Potential Customers
65,AD-15574,179,4,675.64,168.91,0,Loyal Customers
66,AD-16696,67,4,657.9,164.475,0,Loyal Customers
67,AD-16743,6,7,2213.13,316.1614285714286,2,VIP Customers
68,AD-17667,6,5,2055.5099999999998,411.102,2,VIP Customers
69,AE-13370,639,1,754.87,754.87,1,At-Risk Customers
70,AE-15145,45,4,1194.73,298.6825,0,Loyal Customers
71,AE-15394,11,4,2183.54,545.885,0,Loyal Customers
72,AE-16566,17,5,614.66,122.93199999999999,3,Potential Customers
73,AE-17044,27,1,948.48,948.48,3,Potential Customers
74,AF-13323,23,5,787.85,157.57,0,Loyal Customers
75,AF-15104,198,2,993.54,496.77,1,At-Risk Customers
76,AF-15955,26,14,4416.26,315.44714285714286,2,VIP Customers
77,AF-16494,298,1,826.53,826.53,1,At-Risk Customers
78,AF-16709,86,5,3029.87,605.9739999999999,0,Loyal Customers
79,AF-16784,21,1,107.6,107.6,3,Potential Customers
80,AF-17718,234,1,139.35,139.35,1,At-Risk Customers
81,AF-18093,33,4,2106.52,526.63,0,Loyal Customers
82,AG-12587,302,1,144.0,144.0,1,At-Risk Customers
83,AG-12721,81,6,2656.13,442.68833333333333,0,Loyal Customers
84,AG-12923,184,1,172.82,172.82,1,At-Risk Customers
85,AG-12987,75,2,558.7,279.35,1,At-Risk Customers
86,AG-13008,325,1,229.47,229.47,1,At-Risk Customers
87,AG-13629,25,11,7792.36,708.3963636363636,2,VIP Customers
88,AG-13681,19,4,827.83,206.9575,3,Potential Customers
89,AG-14030,20,8,2358.84,294.855,2,VIP Customers
90,AG-14626,25,4,2791.27,697.8175,0,Loyal Customers
91,AG-14687,108,1,628.38,628.38,1,At-Risk Customers
92,AG-14730,109,8,1897.57,237.19625,0,Loyal Customers
93,AG-14733,18,12,9585.91,798.8258333333333,2,VIP Customers
94,AG-15074,107,1,735.67,735.67,1,At-Risk Customers
95,AG-15160,359,1,158.16,158.16,1,At-Risk Customers
96,AG-15230,241,2,429.6,214.8,1,At-Risk Customers
97,AG-15376,42,3,1221.56,407.18666666666667,0,Loyal Customers
98,AG-15411,28,4,1348.93,337.2325,0,Loyal Customers
99,AG-15514,14,11,4023.7200000000003,365.7927272727273,2,VIP Customers
100,AG-16464,21,3,1298.66,432.8866666666667,0,Loyal Customers
101,AG-17230,266,8,3638.41,454.80125,0,Loyal Customers
102,AG-17361,51,3,488.2,162.73333333333332,3,Potential Customers
103,AG-17870,16,12,1865.8899999999999,155.4908333333333,2,VIP Customers
104,AH-12497,83,1,1043.1,1043.1,1,At-Risk Customers
105,AH-12583,1,15,7281.38,485.42533333333336,2,VIP Customers
106,AH-12653,150,2,2209.85,1104.925,0,Loyal Customers
107,AH-12747,24,11,4196.01,381.4554545454546,2,VIP Customers
108,AH-12913,17,5,2483.63,496.726,0,Loyal Customers
109,AH-12971,10,86,11189.91,130.11523255813952,2,VIP Customers
110,AH-13304,353,1,300.42,300.42,1,At-Risk Customers
111,AH-13487,59,3,575.4,191.79999999999998,0,Loyal Customers
112,AH-13593,110,5,2011.88,402.37600000000003,0,Loyal Customers
