,Customer_ID,Recency,Frequency,Monetary,Average_Order_Value,Cluster,Segment
1,AA-13079,23,5,220.1,9.569565217391304,3,Potential Customers
2,AA-13425,110,3,1624.21,14.765545454545455,0,Loyal Customers
3,AA-13805,54,2,924.5999999999999,17.12222222222222,0,Loyal Customers
4,AA-13960,23,2,230.22,10.009565217391303,3,Potential Customers
5,AA-15045,34,2,735.66,21.63705882352941,3,Potential Customers
6,AA-15124,24,2,184.19,7.6745833333333335,3,Potential Customers
7,AA-15821,46,2,570.96,12.412173913043478,3,Potential Customers
8,AA-15844,48,1,130.74,2.7237500000000003,1,At-Risk Customers
9,AA-16644,36,2,833.78,23.160555555555554,3,Potential Customers
10,AA-17560,157,4,854.95,5.445541401273886,0,Loyal Customers
11,AA-17819,66,7,3704.87,56.13439393939394,0,Loyal Customers
12,AA-18283,11,16,2045.53,185.95727272727274,2,VIP Customers
13,AB-12423,90,8,1859.31,20.659,0,Loyal Customers
14,AB-12500,25,11,4257.82,170.31279999999998,2,VIP Customers
15,AB-12919,3,6,1335.19,445.06333333333333,2,VIP Customers
16,AB-13301,105,4,618.09,5.886571428571429,0,Loyal Customers
17,AB-13332,16,1,350.9,21.93125,3,Potential Customers
18,AB-13799,118,2,688.86,5.837796610169492,1,At-Risk Customers
19,AB-13856,96,3,388.5,4.046875,1,At-Risk Customers
20,AB-13875,39,5,1786.79,45.815128205128204,0,Loyal Customers
21,AB-14128,62,2,637.5,10.28225806451613,3,Potential Customers
22,AB-14143,135,1,115.8,0.8577777777777778,1,At-Risk Customers
23,AB-14178,30,7,1600.26,53.342,0,Loyal Customers
24,AB-14664,21,2,636.24,30.29714285714286,3,Potential Customers
25,AB-15344,76,3,563.94,7.420263157894738,0,Loyal Customers
26,AB-15421,1,4,950.36,950.36,3,Potential Customers
27,AB-15435,24,1,149.29,6.220416666666666,3,Potential Customers
28,AB-15687,25,9,2993.1,119.72399999999999,2,VIP Customers
